ts_unix	user_id	side	proc_state	frame_id	rep_id	rms	mdf	sampen	msesen	iemg	rms_norm	dmdf	dsampen	dmsesen	diemg	FI	FI_ema	CV_norm	FI_hybrid	FIh_ema
1760781929.11	user01	R	RUN	17607819291	13	248.62	134.74	1.48	1.46	189.01	1.18	-0.15	-0.25	-0.17	0.09	-0.19	-0.15	0.37	-0.08	-0.04
1760781931.02	user01	R	RUN	17607819310	14	223.68	124.53	2.38	1.81	186.54	1.06	-0.22	0.22	0.03	0.08	0.01	-0.1	0.54	0.12	0.01
1760781932.72	user01	R	RUN	17607819327	15	245.17	174.85	2.12	1.14	190.46	1.16	0.1	0.08	-0.35	0.1	-0.09	-0.1	0.1	-0.05	-0.01
1760781934.53	user01	R	RUN	17607819345	15	215.62	114.79	2.58	1.68	175.16	1.02	-0.28	0.32	-0.04	0.01	0.01	-0.07	0.1	0.03	0.0
1760781936.34	user01	R	RUN	17607819363	15	256.13	101.68	2.12	1.38	197.64	1.21	-0.36	0.08	-0.22	0.14	-0.16	-0.09	0.1	-0.11	-0.03
1760781938.14	user01	R	RUN	17607819381	16	212.13	95.78	2.54	1.26	173.75	1.0	-0.4	0.3	-0.29	0.0	-0.11	-0.1	0.1	-0.07	-0.04
1760781939.84	user01	R	RUN	17607819398	16	206.29	116.73	2.16	1.14	164.8	0.98	-0.26	0.1	-0.35	-0.05	-0.16	-0.12	0.1	-0.1	-0.06
1760781941.65	user01	R	RUN	17607819416	16	269.67	119.12	1.68	1.28	213.71	1.28	-0.25	-0.14	-0.27	0.24	-0.23	-0.15	0.1	-0.16	-0.09
1760781943.35	user01	R	RUN	17607819433	16	237.96	143.47	2.32	2.01	189.64	1.13	-0.1	0.18	0.14	0.1	0.07	-0.08	0.1	0.08	-0.04
1760781945.06	user01	R	RUN	17607819450	16	231.7	137.63	2.09	0.52	190.07	1.1	-0.13	0.07	-0.7	0.1	-0.27	-0.14	0.1	-0.19	-0.09
1760781946.86	user01	R	RUN	17607819468	16	214.44	173.11	1.75	1.65	172.5	1.01	0.09	-0.11	-0.06	-0.0	-0.03	-0.11	0.1	-0.01	-0.06
1760781948.67	user01	R	RUN	17607819486	17	229.91	143.83	2.5	2.22	186.76	1.09	-0.09	0.28	0.26	0.08	0.14	-0.03	0.73	0.26	0.03
1760781950.47	user01	R	RUN	17607819504	17	230.59	152.57	2.45	1.35	175.47	1.09	-0.04	0.25	-0.23	0.01	-0.03	-0.03	0.73	0.13	0.06
1760781952.18	user01	R	RUN	17607819521	17	233.16	88.7	1.56	1.82	186.92	1.1	-0.44	-0.2	0.04	0.08	-0.17	-0.07	0.73	0.01	0.05
